generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4310000,56,256.857,-6962.14,70.6451,0.2831
4320000,53,234.028,-6971.72,40.3337,0.2913
4330000,54,246.383,-6968.75,57.4256,0.2891
4340000,49,227.54,-6973.86,44.5522,0.2678
4350000,46,210.635,-6966.73,59.5447,0.2786
4360000,46,215.22,-6974.03,36.4542,0.2624
4370000,44,194.821,-6976.2,54.8068,0.2803
4380000,47,217.4,-6960.98,39.9723,0.2639
4390000,46,209.175,-6959.55,43.3441,0.2793
4400000,42,185.407,-6972.31,34.7975,0.2612
4410000,47,205.97,-6959.11,39.62,0.2736
4420000,55,246.146,-6951.22,58.8842,0.2846
4430000,54,247.285,-6959.15,47.1646,0.2854
4440000,53,246.435,-6970.96,48.97,0.2898
4450000,54,245.991,-6952.5,51.7765,0.3011
4460000,60,288.274,-6952.83,55.9684,0.2985
4470000,51,242.432,-6964.25,44.3426,0.2945
4480000,48,218.506,-6944.65,45.6911,0.2784
4490000,53,247.91,-6947.26,56.3567,0.2726
4500000,58,278.213,-6959.15,61.2748,0.2909
4510000,52,236.139,-6962.69,48.9229,0.2817
4520000,47,205.955,-6961.93,42.0548,0.2756
4530000,53,252.979,-6946.26,43.4765,0.2756
4540000,56,266.223,-6963.59,50.1281,0.2848
4550000,53,254.924,-6957.68,61.3539,0.2866
4560000,54,248.924,-6964.49,39.4616,0.261
4570000,53,246.677,-6957.79,45.3732,0.2889
4580000,54,248.966,-6947.19,50.3921,0.2721
4590000,60,288.931,-6962.1,57.0731,0.2699
4600000,62,295.189,-6947.11,65.492,0.2785
4610000,58,280.711,-6950.13,60.352,0.2996
4620000,55,259.207,-6959.66,62.3905,0.2859
4630000,56,262.958,-6965.51,57.3086,0.2795
4640000,55,253.2,-6964.63,63.3945,0.2733
4650000,51,240.449,-6976.12,53.7504,0.2738
4660000,56,256.772,-6959.47,59.5022,0.2978
4670000,59,279.985,-6957.25,61.1432,0.2934
4680000,64,298.441,-6960.29,60.8494,0.3005
4690000,56,269.891,-6955.03,47.2275,0.3002
4700000,50,233.405,-6959.29,45.9185,0.2814
4710000,49,198.846,-6947.39,47.8979,0.2787
4720000,47,217.081,-6965.8,44.775,0.2743
4730000,63,307.634,-6953.52,58.0046,0.2947
4740000,56,267.399,-6964.69,60.1137,0.3
4750000,54,251.832,-6947.67,48.2843,0.2817
4760000,56,275.005,-6942.82,57.8012,0.2931
4770000,53,253.702,-6954,55.2449,0.2969
4780000,53,242.219,-6957.24,38.0032,0.2851
4790000,51,234.466,-6947.55,44.6119,0.2839
4800000,46,201.758,-6948.26,44.4879,0.2544
4810000,45,187.458,-6955.68,51.0213,0.2513
4820000,48,202.821,-6959.33,40.0041,0.2633
4830000,45,189.718,-6961.5,37.7082,0.258
4840000,44,184.576,-6957.44,50.6592,0.2399
4850000,48,212.227,-6967.18,44.7567,0.2667
4860000,47,203.2,-6967.38,48.5023,0.2486
4870000,42,170.874,-6961.46,37.8193,0.2531
4880000,45,196.517,-6971.67,42.4716,0.2527
4890000,44,182.185,-6978.24,34.0123,0.2416
4900000,45,200.722,-6961.3,41.8476,0.2518
4910000,47,202.02,-6976.45,28.0153,0.2742
4920000,49,217.983,-6978.42,47.7813,0.2766
4930000,45,194.74,-6978.26,45.5695,0.2523
4940000,47,213.167,-6985.84,49.1933,0.2709
4950000,48,219.355,-6985.88,36.7399,0.2795
4960000,52,247.133,-6977.21,62.2087,0.2596
4970000,53,247.831,-6964.5,55.3938,0.2936
4980000,49,217.309,-6962.4,45.3262,0.2731
4990000,52,238.552,-6970.91,57.0279,0.2938
5000000,55,263.694,-6952.99,64.1189,0.2896
5010000,55,265.242,-6966.29,54.6166,0.2819
5020000,55,253.974,-6963.01,43.5376,0.2694
5030000,58,274.05,-6959.42,60.4154,0.2886
5040000,58,276.329,-6962.67,56.9027,0.2794
5050000,53,248.253,-6956.86,56.7972,0.2835
5060000,50,232.291,-6946.37,52.3271,0.291
5070000,50,220.214,-6967.41,49.2123,0.2774
5080000,53,240.153,-6969.39,55.8078,0.286
5090000,52,246.121,-6961.84,51.1886,0.2843
5100000,52,245.522,-6955.4,50.4138,0.2746
5110000,52,231.335,-6963.18,41.9171,0.276
5120000,47,206.025,-6973.88,36.9868,0.2793
5130000,46,200.938,-6949.19,37.3029,0.2565
5140000,49,225.146,-6970.85,50.3088,0.2633
5150000,49,224.654,-6967.3,40.1047,0.2635
5160000,43,184.236,-6988.67,47.4941,0.2569
5170000,49,214.585,-6965.9,57.7145,0.2777
5180000,50,216.066,-6961.84,44.0373,0.2771
5190000,50,230.689,-6958.84,42.6581,0.2703
5200000,46,203.315,-6964.23,39.4342,0.2644
5210000,44,191.575,-6979.53,44.4997,0.2505
5220000,41,171.452,-6981.73,45.4069,0.2485
5230000,45,187.287,-6974.21,40.0348,0.253
5240000,45,177.725,-6953.8,41.6438,0.2687
5250000,47,189.35,-6965.79,39.2957,0.2562
5260000,51,217.19,-6965.59,58.1259,0.272
5270000,45,184.337,-6954.53,33.3011,0.2658
5280000,48,203.667,-6957.43,48.7543,0.2552
5290000,50,217.73,-6950.44,48.9362,0.2741
5300000,55,239.864,-6943.5,62.3567,0.2821
5310000,55,247.328,-6948.27,42.9048,0.2884
5320000,47,190.961,-6944.93,56.5931,0.2849
5330000,56,237.13,-6934.53,50.5546,0.2702
5340000,53,217.253,-6945.55,51.9058,0.2629
5350000,63,280.26,-6940.09,54.4181,0.2763
5360000,58,253.312,-6943.84,58.6416,0.2868
5370000,64,305.073,-6949.83,59.4253,0.3011
5380000,53,230.336,-6941.9,40.9205,0.2857
5390000,59,265.405,-6943.18,57.3505,0.2814
5400000,57,259.851,-6952.51,59.7485,0.2875
