generation,N_shifts,logPrior,logLik,eventRate,acceptRate
3920000,15,42.5613,-5740.98,9.39867,0.2131
3930000,15,43.4335,-5738.13,13.5053,0.2122
3940000,15,42.5928,-5731.36,24.3515,0.2163
3950000,13,40.4334,-5756.92,9.25718,0.235751
3960000,16,56.338,-5746.02,14.2767,0.262
3970000,16,57.5386,-5740.58,18.9536,0.2685
3980000,13,28.1842,-5741.79,10.2693,0.244125
3990000,13,43.6465,-5748.5,11.293,0.2586
4000000,16,44.9422,-5737.63,11.2315,0.25585
4010000,20,66.6285,-5736.3,15.9971,0.269
4020000,15,38.3717,-5730.19,13.6875,0.2505
4030000,14,36.8929,-5738.1,12.7529,0.2289
4040000,14,34.6943,-5737.47,25.2637,0.2313
4050000,17,51.2999,-5734.2,18.9169,0.2519
4060000,19,67.6145,-5735.87,20.2534,0.2666
4070000,14,39.3397,-5742.44,9.38291,0.2491
4080000,15,45.9969,-5736.18,20.117,0.246667
4090000,17,46.5978,-5744.59,17.4562,0.2472
4100000,19,58.3813,-5733.13,18.2208,0.2589
4110000,17,53.8727,-5725.38,9.71622,0.27
4120000,19,64.5851,-5731.8,16.2462,0.2519
4130000,20,68.3236,-5717.79,21.8706,0.2757
4140000,16,52.7688,-5742.16,15.9453,0.2721
4150000,14,43.5908,-5738.4,10.0373,0.2526
4160000,21,79.4796,-5730.67,22.1348,0.2766
4170000,16,49.4002,-5737.79,23.7283,0.2874
4180000,15,46.6316,-5738.09,11.1689,0.2432
4190000,16,58.8538,-5735.86,16.9926,0.259
4200000,15,42.0124,-5738,17.2126,0.2615
4210000,15,50.8717,-5734.99,13.2178,0.2469
4220000,16,56.066,-5737.3,14.7498,0.2718
4230000,17,54.1807,-5734.19,22.5898,0.2493
4240000,15,48.3183,-5738.53,11.991,0.2623
4250000,16,51.8315,-5737.73,22.3338,0.253
4260000,17,37.3737,-5738.73,17.1456,0.278
4270000,15,48.469,-5735.52,16.1557,0.2681
4280000,17,52.8603,-5730.93,15.9219,0.2659
4290000,18,57.7212,-5720.68,16.9244,0.2493
4300000,18,53.6933,-5725.32,16.3245,0.2425
4310000,17,40.2937,-5717.35,16.6936,0.225
4320000,18,52.2519,-5722.34,13.9755,0.2348
4330000,18,57.7516,-5718.09,15.9846,0.2503
4340000,18,55.944,-5724.82,22.5139,0.2564
4350000,16,53.7867,-5731.74,14.3804,0.2522
4360000,18,64.3266,-5730.21,18.5015,0.2585
4370000,16,48.1684,-5730.27,23.1815,0.2401
4380000,19,64.8797,-5724.53,16.2726,0.2867
4390000,15,37.8322,-5725.16,12.5022,0.264
4400000,15,35.4428,-5721.79,11.8783,0.2299
4410000,16,39.4368,-5728.32,9.89892,0.2334
4420000,15,36.0854,-5725.61,12.407,0.2441
4430000,17,41.1359,-5715.01,20.8051,0.2372
4440000,14,49.312,-5746.01,14.3861,0.236034
4450000,12,38.5364,-5759.07,8.70531,0.2634
4460000,18,45.7399,-5716.72,19.3177,0.244267
4470000,16,35.8197,-5721.5,13.5696,0.2511
4480000,16,35.1894,-5723.62,14.7594,0.2406
4490000,18,41.7322,-5715.87,21.7228,0.2641
4500000,16,42.6464,-5723.3,19.244,0.253
4510000,15,32.882,-5733.66,17.2613,0.254
4520000,16,36.3281,-5723.16,14.1381,0.2519
4530000,15,36.9645,-5722.47,18.1544,0.241
4540000,20,62.5516,-5721.06,17.7141,0.2579
4550000,19,62.8752,-5722.48,18.6481,0.2664
4560000,20,69.7328,-5725.32,20.2629,0.2428
4570000,20,61.1164,-5719.39,20.9265,0.2634
4580000,21,77.9735,-5726.24,18.6854,0.2694
4590000,22,85.6486,-5726.89,23.7214,0.2862
4600000,23,96.2089,-5726.5,23.4644,0.276
4610000,21,69.6332,-5724.61,19.7988,0.2874
4620000,19,60.631,-5730.59,26.5003,0.2715
4630000,17,54.7342,-5733.41,17.4092,0.2693
4640000,20,72.063,-5732.07,24.0912,0.2625
4650000,16,44.969,-5735.91,9.20185,0.2862
4660000,18,51.2036,-5720.27,20.2552,0.2568
4670000,19,57.8223,-5731.89,18.383,0.2525
4680000,18,50.6169,-5726.37,13.5432,0.2515
4690000,19,52.0908,-5727.59,24.4452,0.2703
4700000,16,36.5488,-5724.6,17.8087,0.2395
4710000,18,54.7618,-5716.69,17.2238,0.2562
4720000,16,38.5305,-5724.6,12.3844,0.2605
4730000,16,36.8567,-5726.8,19.7251,0.2513
4740000,16,40.6746,-5728.05,21.6903,0.2637
4750000,14,29.7503,-5739.49,11.9518,0.2464
4760000,15,42.2223,-5747.53,12.8593,0.2343
4770000,13,22.5324,-5732.94,13.5025,0.2481
4780000,13,29.735,-5733.11,10.316,0.2283
